"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
708298	"midazolam"	"Drug"	"RxNorm"	"Ingredient"	"S"	6960	"1970-01-01"	"2099-12-31"	NULL
714785	"amphetamine"	"Drug"	"RxNorm"	"Ingredient"	"S"	725	"1970-01-01"	"2099-12-31"	NULL
719311	"dextroamphetamine"	"Drug"	"RxNorm"	"Ingredient"	"S"	3288	"1970-01-01"	"2099-12-31"	NULL
730548	"bromocriptine"	"Drug"	"RxNorm"	"Ingredient"	"S"	1760	"1970-01-01"	"2099-12-31"	NULL
739471	"relugolix"	"Drug"	"RxNorm"	"Ingredient"	"S"	2472778	"2021-04-05"	"2099-12-31"	NULL
739518	"margetuximab"	"Drug"	"RxNorm"	"Ingredient"	"S"	2473851	"2021-04-05"	"2099-12-31"	NULL
739531	"naxitamab"	"Drug"	"RxNorm"	"Ingredient"	"S"	2474039	"2021-04-05"	"2099-12-31"	NULL
739739	"tepotinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2477103	"2021-04-05"	"2099-12-31"	NULL
739804	"umbralisib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2478439	"2021-04-05"	"2099-12-31"	NULL
739856	"lisocabtagene maraleucel"	"Drug"	"RxNorm"	"Ingredient"	"S"	2479136	"2021-04-05"	"2099-12-31"	NULL
739887	"trilaciclib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2479690	"2021-04-05"	"2099-12-31"	NULL
740067	"melphalan flufenamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	2531369	"2021-04-05"	"2099-12-31"	NULL
791967	"lorazepam"	"Drug"	"RxNorm"	"Ingredient"	"S"	6470	"1970-01-01"	"2099-12-31"	NULL
792499	"copanlisib"	"Drug"	"RxNorm"	"Ingredient"	"S"	1945077	"2018-02-05"	"2099-12-31"	NULL
792649	"abemaciclib"	"Drug"	"RxNorm"	"Ingredient"	"S"	1946825	"2018-02-05"	"2099-12-31"	NULL
792737	"tisagenlecleucel"	"Drug"	"RxNorm"	"Ingredient"	"S"	1986438	"2018-02-05"	"2099-12-31"	NULL
792764	"acalabrutinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	1986808	"2018-02-05"	"2099-12-31"	NULL
792844	"axicabtagene ciloleucel"	"Drug"	"RxNorm"	"Ingredient"	"S"	1987398	"2018-02-05"	"2099-12-31"	NULL
793797	"enasidenib"	"Drug"	"RxNorm"	"Ingredient"	"S"	1940332	"2018-02-05"	"2099-12-31"	NULL
793846	"neratinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	1940643	"2018-02-05"	"2099-12-31"	NULL
794068	"inotuzumab ozogamicin"	"Drug"	"RxNorm"	"Ingredient"	"S"	1942950	"2018-02-05"	"2099-12-31"	NULL
901656	"menthol"	"Drug"	"RxNorm"	"Ingredient"	"S"	6750	"1970-01-01"	"2099-12-31"	NULL
903643	"tretinoin"	"Drug"	"RxNorm"	"Ingredient"	"S"	10753	"1970-01-01"	"2099-12-31"	NULL
904351	"aminolevulinic acid"	"Drug"	"RxNorm"	"Ingredient"	"S"	683	"1970-01-01"	"2099-12-31"	NULL
905078	"trifluridine"	"Drug"	"RxNorm"	"Ingredient"	"S"	10803	"1970-01-01"	"2099-12-31"	NULL
905223	"methoxsalen"	"Drug"	"RxNorm"	"Ingredient"	"S"	6854	"1970-01-01"	"2099-12-31"	NULL
906780	"metoclopramide"	"Drug"	"RxNorm"	"Ingredient"	"S"	6915	"1970-01-01"	"2099-12-31"	NULL
908360	"magaldrate"	"Drug"	"RxNorm"	"Ingredient"	"S"	29151	"1970-01-01"	"2099-12-31"	NULL
910888	"cysteamine"	"Drug"	"RxNorm"	"Ingredient"	"S"	3022	"1970-01-01"	"2099-12-31"	NULL
911064	"zinc oxide"	"Drug"	"RxNorm"	"Ingredient"	"S"	11423	"1970-01-01"	"2099-12-31"	NULL
911354	"palonosetron"	"Drug"	"RxNorm"	"Ingredient"	"S"	70561	"1970-01-01"	"2099-12-31"	NULL
914335	"atropine"	"Drug"	"RxNorm"	"Ingredient"	"S"	1223	"1970-01-01"	"2099-12-31"	NULL
916662	"dimethicone"	"Drug"	"RxNorm"	"Ingredient"	"S"	324072	"1970-01-01"	"2099-12-31"	NULL
924120	"aminolevulinate"	"Drug"	"RxNorm"	"Ingredient"	"S"	155002	"2007-04-29"	"2099-12-31"	NULL
927478	"pramoxine"	"Drug"	"RxNorm"	"Ingredient"	"S"	34347	"1970-01-01"	"2099-12-31"	NULL
936748	"aprepitant"	"Drug"	"RxNorm"	"Ingredient"	"S"	358255	"1970-01-01"	"2099-12-31"	NULL
937368	"infliximab"	"Drug"	"RxNorm"	"Ingredient"	"S"	191831	"1970-01-01"	"2099-12-31"	NULL
953076	"famotidine"	"Drug"	"RxNorm"	"Ingredient"	"S"	4278	"1970-01-01"	"2099-12-31"	NULL
955632	"fluorouracil"	"Drug"	"RxNorm"	"Ingredient"	"S"	4492	"1970-01-01"	"2099-12-31"	NULL
956874	"furosemide"	"Drug"	"RxNorm"	"Ingredient"	"S"	4603	"1970-01-01"	"2099-12-31"	NULL
961047	"ranitidine"	"Drug"	"RxNorm"	"Ingredient"	"S"	9143	"1970-01-01"	"2099-12-31"	NULL
963987	"apalutamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	1999574	"2018-04-02"	"2099-12-31"	NULL
966376	"allantoin"	"Drug"	"RxNorm"	"Ingredient"	"S"	508	"1970-01-01"	"2099-12-31"	NULL
966991	"simethicone"	"Drug"	"RxNorm"	"Ingredient"	"S"	9796	"1970-01-01"	"2099-12-31"	NULL
967823	"sodium chloride"	"Drug"	"RxNorm"	"Ingredient"	"S"	9863	"1970-01-01"	"2099-12-31"	NULL
975125	"hydrocortisone"	"Drug"	"RxNorm"	"Ingredient"	"S"	5492	"1970-01-01"	"2099-12-31"	NULL
985247	"aluminum hydroxide"	"Drug"	"RxNorm"	"Ingredient"	"S"	612	"1970-01-01"	"2099-12-31"	NULL
991876	"loperamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	6468	"1970-01-01"	"2099-12-31"	NULL
992956	"magnesium hydroxide"	"Drug"	"RxNorm"	"Ingredient"	"S"	6581	"1970-01-01"	"2099-12-31"	NULL
1000560	"ondansetron"	"Drug"	"RxNorm"	"Ingredient"	"S"	26225	"1970-01-01"	"2099-12-31"	NULL
1000772	"granisetron"	"Drug"	"RxNorm"	"Ingredient"	"S"	26237	"1970-01-01"	"2099-12-31"	NULL
1124300	"diclofenac"	"Drug"	"RxNorm"	"Ingredient"	"S"	3355	"1970-01-01"	"2099-12-31"	NULL
1126658	"hydromorphone"	"Drug"	"RxNorm"	"Ingredient"	"S"	3423	"1970-01-01"	"2099-12-31"	NULL
1129625	"diphenhydramine"	"Drug"	"RxNorm"	"Ingredient"	"S"	3498	"1970-01-01"	"2099-12-31"	NULL
1145484	"sacituzumab"	"Drug"	"RxNorm"	"Ingredient"	"S"	2360231	"2020-08-03"	"2099-12-31"	NULL
1145571	"tucatinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2361285	"2020-08-03"	"2099-12-31"	NULL
1145637	"capmatinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2362165	"2020-08-03"	"2099-12-31"	NULL
1145752	"ripretinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2369389	"2020-08-03"	"2099-12-31"	NULL
1145791	"selpercatinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2370147	"2020-08-03"	"2099-12-31"	NULL
1146139	"lurbinectedin"	"Drug"	"RxNorm"	"Ingredient"	"S"	2374729	"2020-08-03"	"2099-12-31"	NULL
1146666	"cedazuridine"	"Drug"	"RxNorm"	"Ingredient"	"S"	2384449	"2020-08-03"	"2099-12-31"	NULL
1300978	"megestrol"	"Drug"	"RxNorm"	"Ingredient"	"S"	6703	"1970-01-01"	"2099-12-31"	NULL
1301125	"epoetin alfa"	"Drug"	"RxNorm"	"Ingredient"	"S"	105694	"1970-01-01"	"2099-12-31"	NULL
1301267	"melphalan"	"Drug"	"RxNorm"	"Ingredient"	"S"	6718	"1970-01-01"	"2099-12-31"	NULL
1304044	"fulvestrant"	"Drug"	"RxNorm"	"Ingredient"	"S"	282357	"1970-01-01"	"2099-12-31"	NULL
1304107	"imatinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	282388	"1970-01-01"	"2099-12-31"	NULL
1304565	"rasburicase"	"Drug"	"RxNorm"	"Ingredient"	"S"	283821	"1970-01-01"	"2099-12-31"	NULL
1304643	"darbepoetin alfa"	"Drug"	"RxNorm"	"Ingredient"	"S"	283838	"1970-01-01"	"2099-12-31"	NULL
1304850	"filgrastim"	"Drug"	"RxNorm"	"Ingredient"	"S"	68442	"1970-01-01"	"2099-12-31"	NULL
1304919	"pemetrexed"	"Drug"	"RxNorm"	"Ingredient"	"S"	68446	"1970-01-01"	"2099-12-31"	NULL
1305058	"methotrexate"	"Drug"	"RxNorm"	"Ingredient"	"S"	6851	"1970-01-01"	"2099-12-31"	NULL
1308290	"vincristine"	"Drug"	"RxNorm"	"Ingredient"	"S"	11202	"1970-01-01"	"2099-12-31"	NULL
1308738	"vitamin B12"	"Drug"	"RxNorm"	"Ingredient"	"S"	11248	"1970-01-01"	"2099-12-31"	NULL
1309161	"mitotane"	"Drug"	"RxNorm"	"Ingredient"	"S"	7004	"1970-01-01"	"2099-12-31"	NULL
1309188	"mitoxantrone"	"Drug"	"RxNorm"	"Ingredient"	"S"	7005	"1970-01-01"	"2099-12-31"	NULL
1309770	"aldesleukin"	"Drug"	"RxNorm"	"Ingredient"	"S"	70223	"1970-01-01"	"2099-12-31"	NULL
1310317	"cyclophosphamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	3002	"1970-01-01"	"2099-12-31"	NULL
1311078	"cytarabine"	"Drug"	"RxNorm"	"Ingredient"	"S"	3041	"1970-01-01"	"2099-12-31"	NULL
1311409	"dacarbazine"	"Drug"	"RxNorm"	"Ingredient"	"S"	3098	"1970-01-01"	"2099-12-31"	NULL
1311443	"dactinomycin"	"Drug"	"RxNorm"	"Ingredient"	"S"	3100	"1970-01-01"	"2099-12-31"	NULL
1311799	"daunorubicin"	"Drug"	"RxNorm"	"Ingredient"	"S"	3109	"1970-01-01"	"2099-12-31"	NULL
1312706	"alemtuzumab"	"Drug"	"RxNorm"	"Ingredient"	"S"	117055	"1970-01-01"	"2099-12-31"	NULL
1314273	"rituximab"	"Drug"	"RxNorm"	"Ingredient"	"S"	121191	"1970-01-01"	"2099-12-31"	NULL
1314865	"azacitidine"	"Drug"	"RxNorm"	"Ingredient"	"S"	1251	"1970-01-01"	"2099-12-31"	NULL
1314924	"gemcitabine"	"Drug"	"RxNorm"	"Ingredient"	"S"	12574	"1970-01-01"	"2099-12-31"	NULL
1315286	"nilutamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	31805	"1970-01-01"	"2099-12-31"	NULL
1315411	"cetuximab"	"Drug"	"RxNorm"	"Ingredient"	"S"	318341	"2005-07-24"	"2099-12-31"	NULL
1315942	"docetaxel"	"Drug"	"RxNorm"	"Ingredient"	"S"	72962	"1970-01-01"	"2099-12-31"	NULL
1315946	"letrozole"	"Drug"	"RxNorm"	"Ingredient"	"S"	72965	"1970-01-01"	"2099-12-31"	NULL
1318011	"oxaliplatin"	"Drug"	"RxNorm"	"Ingredient"	"S"	32592	"1970-01-01"	"2099-12-31"	NULL
1319193	"gefitinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	328134	"1970-01-01"	"2099-12-31"	NULL
1325363	"erlotinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	337525	"2005-07-24"	"2099-12-31"	NULL
1325608	"pegfilgrastim"	"Drug"	"RxNorm"	"Ingredient"	"S"	338036	"1970-01-01"	"2099-12-31"	NULL
1326012	"isradipine"	"Drug"	"RxNorm"	"Ingredient"	"S"	33910	"1970-01-01"	"2099-12-31"	NULL
1326481	"pegaspargase"	"Drug"	"RxNorm"	"Ingredient"	"S"	34132	"1970-01-01"	"2099-12-31"	NULL
1329241	"bleomycin"	"Drug"	"RxNorm"	"Ingredient"	"S"	1622	"1970-01-01"	"2099-12-31"	NULL
1333357	"busulfan"	"Drug"	"RxNorm"	"Ingredient"	"S"	1828	"1970-01-01"	"2099-12-31"	NULL
1333379	"arsenic trioxide"	"Drug"	"RxNorm"	"Ingredient"	"S"	18330	"1970-01-01"	"2099-12-31"	NULL
1336539	"sunitinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	357977	"2006-07-30"	"2099-12-31"	NULL
1336825	"bortezomib"	"Drug"	"RxNorm"	"Ingredient"	"S"	358258	"1970-01-01"	"2099-12-31"	NULL
1337620	"capecitabine"	"Drug"	"RxNorm"	"Ingredient"	"S"	194000	"1970-01-01"	"2099-12-31"	NULL
1337651	"vorinostat"	"Drug"	"RxNorm"	"Ingredient"	"S"	194337	"2007-01-28"	"2099-12-31"	NULL
1338512	"doxorubicin"	"Drug"	"RxNorm"	"Ingredient"	"S"	3639	"1970-01-01"	"2099-12-31"	NULL
1341149	"temozolomide"	"Drug"	"RxNorm"	"Ingredient"	"S"	37776	"1970-01-01"	"2099-12-31"	NULL
1342346	"toremifene"	"Drug"	"RxNorm"	"Ingredient"	"S"	38409	"1970-01-01"	"2099-12-31"	NULL
1343039	"triptorelin"	"Drug"	"RxNorm"	"Ingredient"	"S"	38782	"1970-01-01"	"2099-12-31"	NULL
1343346	"vinorelbine"	"Drug"	"RxNorm"	"Ingredient"	"S"	39541	"1970-01-01"	"2099-12-31"	NULL
1344143	"albumin human, USP"	"Drug"	"RxNorm"	"Ingredient"	"S"	828529	"2009-01-04"	"2099-12-31"	NULL
1344354	"epirubicin"	"Drug"	"RxNorm"	"Ingredient"	"S"	3995	"1970-01-01"	"2099-12-31"	NULL
1344381	"bicalutamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	83008	"1970-01-01"	"2099-12-31"	NULL
1344905	"carboplatin"	"Drug"	"RxNorm"	"Ingredient"	"S"	40048	"1970-01-01"	"2099-12-31"	NULL
1347450	"alteplase"	"Drug"	"RxNorm"	"Ingredient"	"S"	8410	"1970-01-01"	"2099-12-31"	NULL
1348265	"anastrozole"	"Drug"	"RxNorm"	"Ingredient"	"S"	84857	"1970-01-01"	"2099-12-31"	NULL
1349025	"estramustine"	"Drug"	"RxNorm"	"Ingredient"	"S"	4089	"1970-01-01"	"2099-12-31"	NULL
1350040	"amifostine"	"Drug"	"RxNorm"	"Ingredient"	"S"	4126	"1970-01-01"	"2099-12-31"	NULL
1350066	"carmustine"	"Drug"	"RxNorm"	"Ingredient"	"S"	2105	"1970-01-01"	"2099-12-31"	NULL
1350504	"etoposide"	"Drug"	"RxNorm"	"Ingredient"	"S"	4179	"1970-01-01"	"2099-12-31"	NULL
1351541	"leuprolide"	"Drug"	"RxNorm"	"Ingredient"	"S"	42375	"1970-01-01"	"2099-12-31"	NULL
1351779	"procarbazine"	"Drug"	"RxNorm"	"Ingredient"	"S"	8702	"1970-01-01"	"2099-12-31"	NULL
1353011	"dexrazoxane"	"Drug"	"RxNorm"	"Ingredient"	"S"	42736	"1970-01-01"	"2099-12-31"	NULL
1354698	"mesna"	"Drug"	"RxNorm"	"Ingredient"	"S"	44	"1970-01-01"	"2099-12-31"	NULL
1355509	"floxuridine"	"Drug"	"RxNorm"	"Ingredient"	"S"	4488	"1970-01-01"	"2099-12-31"	NULL
1355513	"gilteritinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2105806	"2019-02-04"	"2099-12-31"	NULL
1355705	"larotrectinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2105628	"2019-02-04"	"2099-12-31"	NULL
1355795	"glasdegib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2105845	"2019-02-04"	"2099-12-31"	NULL
1356361	"tagraxofusp"	"Drug"	"RxNorm"	"Ingredient"	"S"	2109055	"2019-02-04"	"2099-12-31"	NULL
1356461	"flutamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	4508	"1970-01-01"	"2099-12-31"	NULL
1358436	"dasatinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	475342	"2006-08-27"	"2099-12-31"	NULL
1359548	"lapatinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	480167	"2007-01-14"	"2099-12-31"	NULL
1361191	"selinexor"	"Drug"	"RxNorm"	"Ingredient"	"S"	2178390	"2019-09-03"	"2099-12-31"	NULL
1361291	"darolutamide"	"Drug"	"RxNorm"	"Ingredient"	"S"	2180325	"2019-09-03"	"2099-12-31"	NULL
1361445	"pexidartinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2183102	"2019-09-03"	"2099-12-31"	NULL
1361614	"fedratinib"	"Drug"	"RxNorm"	"Ingredient"	"S"	2197490	"2019-09-03"	"2099-12-31"	NULL
